ISO;Country;Continent
AFG;Afghanistan;Asia
ALA;Aland Islands;Europe
ALB;Albania;Europe
DZA;Algeria;Africa
ASM;American Samoa;Oceania
AND;Andorra;Europe
AGO;Angola;Africa
AIA;Anguilla;North America
ATA;Antarctica;Antarctica
ANT;Netherlan Antilles;North America
ATG;Antigua and Barbuda;North America
ARG;Argentina;South America
ARM;Armenia;Asia
ABW;Aruba;North America
AUS;Australia;Oceania
AUT;Austria;Europe
AZE;Azerbaijan;Asia
BHS;Bahamas;North America
BHR;Bahrain;Asia
BGD;Bangladesh;Asia
BRB;Barbados;North America
BLR;Belarus;Europe
BEL;Belgium;Europe
BLZ;Belize;North America
BEN;Benin;Africa
BMU;Bermuda;North America
BTN;Bhutan;Asia
BOL;Bolivia (Plurinational State of);South America
BES;Bonaire, Sint Eustatius and Saba;North America
BIH;Bosnia and Herzegovina;Europe
BWA;Botswana;Africa
BVT;Bouvet Island;South America
BRA;Brazil;South America
IOT;British Indian Ocean Territory;Africa
VGB;British Virgin Islands;North America
BRN;Brunei Darussalam;Asia
BGR;Bulgaria;Europe
BFA;Burkina Faso;Africa
BDI;Burundi;Africa
CPV;Cabo Verde;Africa
KHM;Cambodia;Asia
CMR;Cameroon;Africa
CAN;Canada;North America
CYM;Cayman Islands;North America
CAF;Central African Republic;Africa
TCD;Chad;Africa
CHL;Chile;South America
CHN;China;Asia
HKG;China, Hong Kong Special Administrative Region;Asia
MAC;China, Macao Special Administrative Region;Asia
CXR;Christmas Island;Oceania
CCK;Cocos (Keeling) Islands;Oceania
COL;Colombia;South America
COM;Comoros;Africa
COG;Congo;Africa
COK;Cook Islands;Oceania
CRI;Costa Rica;North America
CIV;Cote d’Ivoire;Africa
HRV;Croatia;Europe
CUB;Cuba;North America
CUW;Cura?ao;North America
CYP;Cyprus;Asia
CZE;Czechia;Europe
PRK;Democratic People's Republic of Korea;Asia
COD;Democratic Republic of the Congo;Africa
DNK;Denmark;Europe
DJI;Djibouti;Africa
DMA;Dominica;North America
DOM;Dominican Republic;North America
ECU;Ecuador;South America
EGY;Egypt;Africa
SLV;El Salvador;North America
GNQ;Equatorial Guinea;Africa
ERI;Eritrea;Africa
EST;Estonia;Europe
SWZ;Eswatini;Africa
ETH;Ethiopia;Africa
FLK;Falkland Islands (Malvinas);South America
FRO;Faroe Islands;Europe
FJI;Fiji;Oceania
FIN;Finland;Europe
FRA;France;Europe
GUF;French Guiana;South America
PYF;French Polynesia;Oceania
ATF;French Southern Territories;Africa
GAB;Gabon;Africa
GMB;Gambia;Africa
GEO;Georgia;Asia
DEU;Germany;Europe
GHA;Ghana;Africa
GIB;Gibraltar;Europe
GRC;Greece;Europe
GRL;Greenland;North America
GRD;Grenada;North America
GLP;Guadeloupe;North America
GUM;Guam;Oceania
GTM;Guatemala;North America
GGY;Guernsey;Europe
GIN;Guinea;Africa
GNB;Guinea-Bissau;Africa
GUY;Guyana;South America
HTI;Haiti;North America
HMD;Heard Island and McDonald Islands;Oceania
VAT;Holy See;Europe
HND;Honduras;North America
HUN;Hungary;Europe
ISL;Iceland;Europe
IND;India;Asia
IDN;Indonesia;Asia
IRN;Iran (Islamic Republic of);Asia
IRQ;Iraq;Asia
IRL;Ireland;Europe
IMN;Isle of Man;Europe
ISR;Israel;Asia
ITA;Italy;Europe
JAM;Jamaica;North America
JPN;Japan;Asia
JEY;Jersey;Europe
JOR;Jordan;Asia
KAZ;Kazakhstan;Asia
KEN;Kenya;Africa
