ISO;Country;Subregion
AFG;Afghanistan;Southern Asia
ALA;Aland Islands;Northern Europe
ALB;Albania;Southern Europe
DZA;Algeria;Northern Africa
ASM;American Samoa;Polynesia
AND;Andorra;Southern Europe
AGO;Angola;Sub-Saharan Africa
AIA;Anguilla;Latin America and the Caribbean
ATA;Antarctica;Antarctica
ATG;Antigua and Barbuda;Latin America and the Caribbean
ARG;Argentina;Latin America and the Caribbean
ARM;Armenia;Western Asia
ABW;Aruba;Latin America and the Caribbean
AUS;Australia;Australia and New Zealand
AUT;Austria;Western Europe
AZE;Azerbaijan;Western Asia
ANT;Netherland Antilles;Nothern America
BHS;Bahamas;Latin America and the Caribbean
BHR;Bahrain;Western Asia
BGD;Bangladesh;Southern Asia
BRB;Barbados;Latin America and the Caribbean
BLR;Belarus;Eastern Europe
BEL;Belgium;Western Europe
BLZ;Belize;Latin America and the Caribbean
BEN;Benin;Sub-Saharan Africa
BMU;Bermuda;Northern America
BTN;Bhutan;Southern Asia
BOL;Bolivia (Plurinational State of);Latin America and the Caribbean
BES;Bonaire, Sint Eustatius and Saba;Latin America and the Caribbean
BIH;Bosnia and Herzegovina;Southern Europe
BWA;Botswana;Sub-Saharan Africa
BVT;Bouvet Island;Latin America and the Caribbean
BRA;Brazil;Latin America and the Caribbean
IOT;British Indian Ocean Territory;Sub-Saharan Africa
VGB;British Virgin Islands;Latin America and the Caribbean
BRN;Brunei Darussalam;South-eastern Asia
BGR;Bulgaria;Eastern Europe
BFA;Burkina Faso;Sub-Saharan Africa
BDI;Burundi;Sub-Saharan Africa
CPV;Cabo Verde;Sub-Saharan Africa
KHM;Cambodia;South-eastern Asia
CMR;Cameroon;Sub-Saharan Africa
CAN;Canada;Northern America
CYM;Cayman Islands;Latin America and the Caribbean
CAF;Central African Republic;Sub-Saharan Africa
TCD;Chad;Sub-Saharan Africa
CHL;Chile;Latin America and the Caribbean
CHN;China;Eastern Asia
HKG;China, Hong Kong Special Administrative Region;Eastern Asia
MAC;China, Macao Special Administrative Region;Eastern Asia
CXR;Christmas Island;Australia and New Zealand
CCK;Cocos (Keeling) Islands;Australia and New Zealand
COL;Colombia;Latin America and the Caribbean
COM;Comoros;Sub-Saharan Africa
COG;Congo;Sub-Saharan Africa
COK;Cook Islands;Polynesia
CRI;Costa Rica;Latin America and the Caribbean
CIV;Cote d’Ivoire;Sub-Saharan Africa
HRV;Croatia;Southern Europe
CUB;Cuba;Latin America and the Caribbean
CUW;Cura?ao;Latin America and the Caribbean
CYP;Cyprus;Western Asia
CZE;Czechia;Eastern Europe
PRK;Democratic People's Republic of Korea;Eastern Asia
COD;Democratic Republic of the Congo;Sub-Saharan Africa
DNK;Denmark;Northern Europe
DJI;Djibouti;Sub-Saharan Africa
DMA;Dominica;Latin America and the Caribbean
DOM;Dominican Republic;Latin America and the Caribbean
ECU;Ecuador;Latin America and the Caribbean
EGY;Egypt;Northern Africa
SLV;El Salvador;Latin America and the Caribbean
GNQ;Equatorial Guinea;Sub-Saharan Africa
ERI;Eritrea;Sub-Saharan Africa
EST;Estonia;Northern Europe
SWZ;Eswatini;Sub-Saharan Africa
ETH;Ethiopia;Sub-Saharan Africa
FLK;Falkland Islands (Malvinas);Latin America and the Caribbean
FRO;Faroe Islands;Northern Europe
FJI;Fiji;Melanesia
FIN;Finland;Northern Europe
FRA;France;Western Europe
GUF;French Guiana;Latin America and the Caribbean
PYF;French Polynesia;Polynesia
ATF;French Southern Territories;Sub-Saharan Africa
GAB;Gabon;Sub-Saharan Africa
GMB;Gambia;Sub-Saharan Africa
GEO;Georgia;Western Asia
DEU;Germany;Western Europe
GHA;Ghana;Sub-Saharan Africa
GIB;Gibraltar;Southern Europe
GRC;Greece;Southern Europe
GRL;Greenland;Northern America
GRD;Grenada;Latin America and the Caribbean
GLP;Guadeloupe;Latin America and the Caribbean
GUM;Guam;Micronesia
GTM;Guatemala;Latin America and the Caribbean
GGY;Guernsey;Channel Islands
GIN;Guinea;Sub-Saharan Africa
GNB;Guinea-Bissau;Sub-Saharan Africa
GUY;Guyana;Latin America and the Caribbean
HTI;Haiti;Latin America and the Caribbean
HMD;Heard Island and McDonald Islands;Australia and New Zealand
VAT;Holy See;Southern Europe
HND;Honduras;Latin America and the Caribbean
HUN;Hungary;Eastern Europe
ISL;Iceland;Northern Europe
IND;India;Southern Asia
IDN;Indonesia;South-eastern Asia
IRN;Iran (Islamic Republic of);Southern Asia
IRQ;Iraq;Western Asia
IRL;Ireland;Northern Europe
IMN;Isle of Man;Northern Europe
ISR;Israel;Western Asia
ITA;Italy;Southern Europe
JAM;Jamaica;Latin America and the Caribbean
JPN;Japan;Eastern Asia
JEY;Jersey;Channel Islands
JOR;Jordan;Western Asia
KAZ;Kazakhstan;Central Asia
KEN;Kenya;Sub-Saharan Africa
KIR;Kiribati;Micronesia
KWT;Kuwait;Western Asia
KGZ;Kyrgyzstan;Central Asia
LAO;Lao People's Democratic Republic;South-eastern Asia
LVA;Latvia;Northern Europe
LBN;Lebanon;Western Asia
LSO;Lesotho;Sub-Saharan Africa
LBR;Liberia;Sub-Saharan Africa
LBY;Libya;Northern Africa
LIE;Liechtenstein;Western Europe
LTU;Lithuania;Northern Europe
LUX;Luxembourg;Western Europe
MDG;Madagascar;Sub-Saharan Africa
MWI;Malawi;Sub-Saharan Africa
MYS;Malaysia;South-eastern Asia
MDV;Maldives;Southern Asia
MLI;Mali;Sub-Saharan Africa
MLT;Malta;Southern Europe
MHL;Marshall Islands;Micronesia
MTQ;Martinique;Latin America and the Caribbean
MRT;Mauritania;Sub-Saharan Africa
MUS;Mauritius;Sub-Saharan Africa
MYT;Mayotte;Sub-Saharan Africa
MEX;Mexico;Latin America and the Caribbean
FSM;Micronesia (Federated States of);Micronesia
MCO;Monaco;Western Europe
MNG;Mongolia;Eastern Asia
MNE;Montenegro;Southern Europe
MSR;Montserrat;Latin America and the Caribbean
MAR;Morocco;Northern Africa
MOZ;Mozambique;Sub-Saharan Africa
MMR;Myanmar;South-eastern Asia
NAM;Namibia;Sub-Saharan Africa
NRU;Nauru;Micronesia
NPL;Nepal;Southern Asia
NLD;Netherlands;Western Europe
NCL;New Caledonia;Melanesia
NZL;New Zealand;Australia and New Zealand
NIC;Nicaragua;Latin America and the Caribbean
NER;Niger;Sub-Saharan Africa
NGA;Nigeria;Sub-Saharan Africa
NIU;Niue;Polynesia
NFK;Norfolk Island;Australia and New Zealand
MKD;North Macedonia;Southern Europe
MNP;Northern Mariana Islands;Micronesia
NOR;Norway;Northern Europe
OMN;Oman;Western Asia
PAK;Pakistan;Southern Asia
PLW;Palau;Micronesia
PAN;Panama;Latin America and the Caribbean
PNG;Papua New Guinea;Melanesia
PRY;Paraguay;Latin America and the Caribbean
PER;Peru;Latin America and the Caribbean
PHL;Philippines;South-eastern Asia
PCN;Pitcairn;Polynesia
POL;Poland;Eastern Europe
PRT;Portugal;Southern Europe
PRI;Puerto Rico;Latin America and the Caribbean
QAT;Qatar;Western Asia
KOR;Republic of Korea;Eastern Asia
MDA;Republic of Moldova;Eastern Europe
REU;R?union;Sub-Saharan Africa
ROU;Romania;Eastern Europe
RUS;Russian Federation;Eastern Europe
RWA;Rwanda;Sub-Saharan Africa
BLM;Saint Barth?lemy;Latin America and the Caribbean
SHN;Saint Helena;Sub-Saharan Africa
KNA;Saint Kitts and Nevis;Latin America and the Caribbean
LCA;Saint Lucia;Latin America and the Caribbean
MAF;Saint Martin (French Part);Latin America and the Caribbean
SPM;Saint Pierre and Miquelon;Northern America
VCT;Saint Vincent and the Grenadines;Latin America and the Caribbean
WSM;Samoa;Polynesia
SMR;San Marino;Southern Europe
STP;Sao Tome and Principe;Sub-Saharan Africa
CRQ;Sark;Channel Islands
SAU;Saudi Arabia;Western Asia
SEN;Senegal;Sub-Saharan Africa
SRB;Serbia;Southern Europe
SYC;Seychelles;Sub-Saharan Africa
SLE;Sierra Leone;Sub-Saharan Africa
SGP;Singapore;South-eastern Asia
SXM;Sint Maarten (Dutch part);Latin America and the Caribbean
SVK;Slovakia;Eastern Europe
SVN;Slovenia;Southern Europe
SLB;Solomon Islands;Melanesia
SOM;Somalia;Sub-Saharan Africa
ZAF;South Africa;Sub-Saharan Africa
SGS;South Georgia and the South Sandwich Islands;Latin America and the Caribbean
SSD;South Sudan;Sub-Saharan Africa
ESP;Spain;Southern Europe
LKA;Sri Lanka;Southern Asia
PSE;State of Palestine;Western Asia
SDN;Sudan;Northern Africa
SUR;Suriname;Latin America and the Caribbean
SJM;Svalbard and Jan Mayen Islands;Northern Europe
SWE;Sweden;Northern Europe
CHE;Switzerland;Western Europe
SYR;Syrian Arab Republic;Western Asia
TJK;Tajikistan;Central Asia
THA;Thailand;South-eastern Asia
TLS;Timor-Leste;South-eastern Asia
TGO;Togo;Sub-Saharan Africa
TKL;Tokelau;Polynesia
TON;Tonga;Polynesia
TTO;Trinidad and Tobago;Latin America and the Caribbean
TUN;Tunisia;Northern Africa
TUR;Turkey;Western Asia
TKM;Turkmenistan;Central Asia
TCA;Turks and Caicos Islands;Latin America and the Caribbean
TUV;Tuvalu;Polynesia
TWN;Taiwan;Eastern Asia
UGA;Uganda;Sub-Saharan Africa
UKR;Ukraine;Eastern Europe
ARE;United Arab Emirates;Western Asia
GBR;United Kingdom of Great Britain and Northern Ireland;Northern Europe
TZA;United Republic of Tanzania;Sub-Saharan Africa
UMI;United States Minor Outlying Islands;Micronesia
USA;United States of America;Northern America
VIR;United States Virgin Islands;Latin America and the Caribbean
URY;Uruguay;Latin America and the Caribbean
UZB;Uzbekistan;Central Asia
VUT;Vanuatu;Melanesia
VEN;Venezuela (Bolivarian Republic of);Latin America and the Caribbean
VNM;Viet Nam;South-eastern Asia
WLF;Wallis and Futuna Islands;Polynesia
ESH;Western Sahara;Northern Africa
YEM;Yemen;Western Asia
ZMB;Zambia;Sub-Saharan Africa
ZWE;Zimbabwe;Sub-Saharan Africa
