ISO;Year;Date;Electricity_access;Electricity_access_rural;Electricity_access_urban;Electricity_clean_energy_use;Electricity_consumption (kWh per capita);Electricity_from_coal;Electricity_from_gas;Electricity_from_hydro;Electricity_from_oil;Electricity_from_renewable;Electricity_transmission_losses;Electricity_from_nuclear;Emissions_CO2_from_energy;Emissions_methane_from_energy;Emissions_nitrous_oxide_from_energy;Energy_combustible_waste;Energy_from_fossil_consumption;Energy_from_renewable;Energy_import
AND;1985;31.12.1985;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;0;0;100;14,27355021;-5116,12712
AND;1986;31.12.1986;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;0;0;100;14,27355021;-5116,12712
AND;1987;31.12.1987;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;0;0;100;14,27355021;-5116,12712
AND;1988;31.12.1988;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;0;0;100;14,27355021;-5116,12712
AND;1989;31.12.1989;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;0;0;100;14,27355021;-5116,12712
AND;1990;31.12.1990;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,27355021;-5116,12712
AND;1991;31.12.1991;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,27355021;-5116,12712
AND;1992;31.12.1992;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,30875446;-5116,12712
AND;1993;31.12.1993;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;13,91895459;-5116,12712
AND;1994;31.12.1994;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,56102442;-5116,12712
AND;1995;31.12.1995;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,48104808;-5116,12712
AND;1996;31.12.1996;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,1000476;-5116,12712
AND;1997;31.12.1997;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,19400246;-5116,12712
AND;1998;31.12.1998;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,45864172;-5116,12712
AND;1999;31.12.1999;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,54989054;-5116,12712
AND;2000;31.12.2000;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;14,50819969;-5116,12712
AND;2001;31.12.2001;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;15,38829994;-5116,12712
AND;2002;31.12.2002;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;15,82979965;-5116,12712
AND;2003;31.12.2003;100;100;100;0;681,171904;0;100;0;0;100;6,896551724;0;0;0;47,20309899;0;100;16,51539993;-5116,12712
AND;2004;31.12.2004;100;100;100;0;681,171904;0;100;0;0;98,93617021;6,896551724;0;0;0;47,20309899;0;100;16,56669998;-5116,12712
AND;2005;31.12.2005;100;100;100;0;681,171904;0;100;0;0;98,82352941;6,896551724;0;0;0;47,20309899;0;100;16,6079998;-5116,12712
AND;2006;31.12.2006;100;100;100;0;681,171904;0;100;0;0;94,59459459;6,896551724;0;0;0;47,20309899;0;100;17,56800079;-5116,12712
