ISO;Year;Poverty; Real GDP 
ARG;2018;1,4; 1 012 127 189 428 
ARG;2019;1,5; 991 622 158 179 
ARG;2020;;
ARM;1992;0; 9 418 820 611 
ARM;1993;0; 8 589 964 511 
ARM;1994;0; 9 053 822 834 
ARM;1995;0; 9 678 536 466 
ARM;1996;0; 10 246 221 416 
ARM;1997;0; 10 586 506 596 
ARM;1998;0; 11 359 321 576 
ARM;1999;12,2; 11 734 179 188 
ARM;2000;0; 12 426 495 761 
ARM;2001;14,4; 13 619 439 354 
ARM;2002;10,5; 15 417 205 348 
ARM;2003;7,9; 17 575 614 097 
ARM;2004;5,5; 19 421 053 577 
ARM;2005;2,7; 22 120 580 024 
ARM;2006;2,1; 25 040 496 587 
ARM;2007;1,6; 28 471 044 620 
ARM;2008;0,9; 30 435 546 699 
ARM;2009;1,3; 26 144 134 614 
ARM;2010;1; 26 719 305 576 
ARM;2011;1,2; 27 975 112 937 
ARM;2012;0,9; 29 989 321 069 
ARM;2013;1,8; 30 978 968 665 
ARM;2014;1,5; 32 094 211 537 
ARM;2015;1,3; 33 121 226 305 
ARM;2016;1,2; 33 187 468 758 
ARM;2017;0,9; 35 676 528 915 
ARM;2018;1,4; 37 531 708 419 
ARM;2019;1,1; 40 384 118 258 
ASM;1985;0; -   
ASM;1986;0; -   
ASM;1987;0; -   
ASM;1988;0; -   
ASM;1989;0; -   
ASM;1990;0; -   
ASM;1991;0; -   
ASM;1992;0; -   
ASM;1993;0; -   
ASM;1994;0; -   
ASM;1995;0; -   
ASM;1996;0; -   
ASM;1997;0; -   
ASM;1998;0; -   
ASM;1999;0; -   
ASM;2000;0; -   
ASM;2001;0; -   
ASM;2002;0; -   
ASM;2003;0; -   
ASM;2004;0; -   
ASM;2005;0; -   
ASM;2006;0; -   
ASM;2007;0; -   
ASM;2008;0; -   
ASM;2009;0; -   
ASM;2010;0; -   
ASM;2011;0; -   
ASM;2012;0; -   
ASM;2013;0; -   
ASM;2014;0; -   
ASM;2015;0; -   
ASM;2016;0; -   
ASM;2017;0; -   
ASM;2018;0; -   
ASM;2019;0; -   
ATG;1985;0; -   
ATG;1986;0; -   
ATG;1987;0; -   
ATG;1988;0; -   
ATG;1989;0; -   
ATG;1990;0; 966 678 464 
ATG;1991;0; 987 718 981 
ATG;1992;0; 999 161 460 
ATG;1993;0; 1 051 915 973 
ATG;1994;0; 1 122 149 322 
ATG;1995;0; 1 073 228 242 
ATG;1996;0; 1 144 109 169 
ATG;1997;0; 1 206 710 343 
ATG;1998;0; 1 263 801 319 
ATG;1999;0; 1 310 658 243 
ATG;2000;0; 1 391 964 026 
ATG;2001;0; 1 328 657 454 
ATG;2002;0; 1 342 308 638 
ATG;2003;0; 1 423 874 609 
ATG;2004;0; 1 505 989 865 
ATG;2005;0; 1 603 485 108 
ATG;2006;0; 1 807 258 378 
ATG;2007;0; 1 975 611 420 
ATG;2008;0; 1 975 328 105 
ATG;2009;0; 1 739 025 584 
ATG;2010;0; 1 602 675 635 
ATG;2011;0; 1 571 285 428 
ATG;2012;0; 1 624 282 783 
ATG;2013;0; 1 614 522 851 
ATG;2014;0; 1 675 805 741 
ATG;2015;0; 1 739 910 222 
ATG;2016;0; 1 835 543 678 
ATG;2017;0; 1 893 259 104 
ATG;2018;0; 2 023 584 261 
ATG;2019;0; 2 121 975 706 
AUS;1985;1; -   
AUS;1986;0; -   
AUS;1987;0; -   
AUS;1988;0; -   
AUS;1989;0,7; -   
AUS;1990;0; 529 298 229 227 
AUS;1991;0; 527 207 039 796 
AUS;1992;0; 529 388 519 109 
AUS;1993;0; 550 741 760 463 
AUS;1994;0; 572 663 891 212 
AUS;1995;1; 594 618 854 646 
AUS;1996;0; 617 537 962 482 
AUS;1997;0; 641 673 142 433 
AUS;1998;0; 671 280 015 503 
AUS;1999;0; 704 418 927 726 
AUS;2000;0; 731 978 809 209 
AUS;2001;0,7; 746 898 738 633 
AUS;2002;0; 776 883 187 572 
AUS;2003;1; 801 046 780 423 
AUS;2004;0,5; 834 734 377 313 
AUS;2005;0; 861 114 807 752 
AUS;2006;0; 884 596 491 005 
AUS;2007;0; 917 932 399 334 
AUS;2008;0,4; 950 766 977 830 
AUS;2009;0; 968 516 200 684 
AUS;2010;0,3; 989 555 637 344 
AUS;2011;0; 1 013 995 151 023 
AUS;2012;0; 1 053 717 016 448 
AUS;2013;0; 1 081 115 891 498 
AUS;2014;0,5; 1 108 824 151 458 
AUS;2015;0; 1 132 910 082 383 
AUS;2016;0; 1 163 970 433 131 
AUS;2017;0; 1 190 694 343 959 
AUS;2018;0; 1 224 878 850 898 
AUS;2019;0; 1 250 762 371 288 
AUS;2020;;
AUT;1985;0; -   
AUT;1986;0; -   
AUT;1987;0; -   
AUT;1988;0; -   
AUT;1989;0; -   
AUT;1990;0; 287 877 610 667 
AUT;1991;0; 297 785 286 478 
AUT;1992;0; 304 019 494 757 
AUT;1993;0; 305 621 097 436 
AUT;1994;0,2; 312 962 480 111 
AUT;1995;1; 321 312 267 539 
AUT;1996;0; 328 861 608 034 
AUT;1997;0,2; 335 746 652 652 
AUT;1998;0; 347 771 169 942 
AUT;1999;0; 360 139 064 726 
AUT;2000;0,2; 372 296 358 894 
AUT;2001;0; 377 013 979 923 
AUT;2002;0; 383 240 569 095 
AUT;2003;0,3; 386 848 667 609 
AUT;2004;0,1; 397 429 443 747 
AUT;2005;0,2; 406 348 020 084 
AUT;2006;0,1; 420 383 450 698 
AUT;2007;0,4; 436 052 887 762 
AUT;2008;0,5; 442 421 107 374 
AUT;2009;0,7; 425 765 818 911 
AUT;2010;0,5; 433 587 535 848 
AUT;2011;0,4; 446 260 420 568 
AUT;2012;0,6; 449 296 979 861 
AUT;2013;0,3; 449 411 571 763 
AUT;2014;0,2; 452 383 408 467 
AUT;2015;0,7; 456 972 845 320 
AUT;2016;0,7; 466 064 032 926 
AUT;2017;0,3; 476 590 426 692 
AUT;2018;0,6; 488 512 789 542 
AUT;2019;0; 495 797 545 261 
AUT;2020;;
AZE;1985;0; -   
AZE;1986;0; -   
AZE;1987;0; -   
AZE;1988;0; -   
AZE;1989;0; -   
AZE;1990;0; 54 652 854 607 
AZE;1991;0; 54 270 284 525 
AZE;1992;0; 42 005 200 197 
AZE;1993;0; 32 301 999 242 
AZE;1994;0; 25 938 505 158 
AZE;1995;7,1; 22 877 761 619 
AZE;1996;0; 23 175 172 397 
AZE;1997;0; 24 519 332 399 
AZE;1998;0; 26 971 265 925 
AZE;1999;0; 28 967 139 492 
AZE;2000;0; 32 182 491 832 
AZE;2001;2,6; 35 368 558 565 
AZE;2002;0; 38 706 967 219 
AZE;2003;0; 42 658 290 558 
AZE;2004;0; 46 605 804 016 
AZE;2005;0; 59 637 503 648 
AZE;2006;0; 80 212 442 406 
AZE;2007;0; 100 265 553 008 
AZE;2008;0; 111 053 101 954 
AZE;2009;0; 121 377 001 960 
AZE;2010;0; 127 505 259 506 
AZE;2011;0; 127 632 764 766 
AZE;2012;0; 130 396 319 714 
AZE;2013;0; 137 972 086 330 
AZE;2014;0; 141 767 018 263 
AZE;2015;0; 143 317 915 201 
AZE;2016;0; 138 875 059 830 
AZE;2017;0; 139 152 809 949 
AZE;2018;0; 141 240 102 099 
AZE;2019;0; 144 771 104 651 
AZE;2020;;
BDI;1985;0; -   
BDI;1986;0; -   
BDI;1987;0; -   
BDI;1988;0; -   
BDI;1989;0; -   
BDI;1990;0; 6 444 307 086 
BDI;1991;0; 6 766 318 571 
BDI;1992;81,9; 6 834 658 278 
BDI;1993;0; 6 408 175 601 
BDI;1994;0; 6 162 742 476 
BDI;1995;0; 5 674 653 272 
BDI;1996;0; 5 220 681 010 
BDI;1997;0; 5 137 672 182 
BDI;1998;84,7; 5 381 711 611 
BDI;1999;0; 5 327 356 324 
BDI;2000;0; 5 281 708 122 
BDI;2001;0; 5 390 289 853 
BDI;2002;0; 5 629 970 138 
BDI;2003;0; 5 561 074 619 
BDI;2004;0; 5 829 877 934 
BDI;2005;0; 5 882 346 836 
BDI;2006;78,6; 6 200 805 749 
BDI;2007;0; 6 414 854 618 
